code,comorbidity
C8446,CANCER_LYMPH
C8447,CANCER_LYMPH
C8448,CANCER_LYMPH
C8449,CANCER_LYMPH
C844A,CANCER_LYMPH
C8460,CANCER_LYMPH
C8461,CANCER_LYMPH
C8462,CANCER_LYMPH
C8463,CANCER_LYMPH
C8464,CANCER_LYMPH
C8465,CANCER_LYMPH
C8466,CANCER_LYMPH
C8467,CANCER_LYMPH
C8468,CANCER_LYMPH
C8469,CANCER_LYMPH
C846A,CANCER_LYMPH
C8470,CANCER_LYMPH
C8471,CANCER_LYMPH
C8472,CANCER_LYMPH
C8473,CANCER_LYMPH
C8474,CANCER_LYMPH
C8475,CANCER_LYMPH
C8476,CANCER_LYMPH
C8477,CANCER_LYMPH
C8478,CANCER_LYMPH
C8479,CANCER_LYMPH
C847A,CANCER_LYMPH
C847B,CANCER_LYMPH
C8490,CANCER_LYMPH
C8491,CANCER_LYMPH
C8492,CANCER_LYMPH
C8493,CANCER_LYMPH
C8494,CANCER_LYMPH
C8495,CANCER_LYMPH
C8496,CANCER_LYMPH
C8497,CANCER_LYMPH
C8498,CANCER_LYMPH
C8499,CANCER_LYMPH
C849A,CANCER_LYMPH
C84A0,CANCER_LYMPH
